VALUE,long,lat
659.00000000,24.917,50.083
664.00000000,25.083,50.083
663.00000000,25.250,50.083
656.00000000,25.417,50.083
645.00000000,25.583,50.083
648.00000000,25.750,50.083
639.00000000,25.917,50.083
630.00000000,26.083,50.083
630.00000000,26.250,50.083
640.00000000,26.417,50.083
649.00000000,26.583,50.083
658.00000000,26.750,50.083
672.00000000,26.917,50.083
679.00000000,27.083,50.083
673.00000000,27.250,50.083
664.00000000,27.417,50.083
654.00000000,27.583,50.083
646.00000000,27.750,50.083
643.00000000,27.917,50.083
633.00000000,28.083,50.083
628.00000000,28.250,50.083
623.00000000,28.417,50.083
619.00000000,28.583,50.083
620.00000000,28.750,50.083
621.00000000,28.917,50.083
621.00000000,29.083,50.083
618.00000000,29.250,50.083
617.00000000,29.417,50.083
612.00000000,29.583,50.083
607.00000000,29.750,50.083
606.00000000,29.917,50.083
599.00000000,30.083,50.083
593.00000000,30.250,50.083
589.00000000,30.417,50.083
586.00000000,30.583,50.083
570.00000000,30.750,50.083
559.00000000,30.917,50.083
551.00000000,31.083,50.083
544.00000000,31.250,50.083
538.00000000,31.417,50.083
540.00000000,31.583,50.083
545.00000000,31.750,50.083
552.00000000,31.917,50.083
557.00000000,32.083,50.083
563.00000000,32.250,50.083
563.00000000,32.417,50.083
571.00000000,32.583,50.083
584.00000000,32.750,50.083
597.00000000,32.917,50.083
586.00000000,33.083,50.083
572.00000000,33.250,50.083
569.00000000,33.417,50.083
568.00000000,33.583,50.083
567.00000000,33.750,50.083
569.00000000,33.917,50.083
571.00000000,34.083,50.083
569.00000000,34.250,50.083
570.00000000,34.417,50.083
573.00000000,34.583,50.083
565.00000000,34.750,50.083
574.00000000,34.917,50.083
576.00000000,35.083,50.083
572.00000000,35.250,50.083
566.00000000,35.417,50.083
561.00000000,35.583,50.083
571.00000000,35.750,50.083
573.00000000,35.917,50.083
583.00000000,36.083,50.083
590.00000000,36.250,50.083
580.00000000,36.417,50.083
570.00000000,36.583,50.083
557.00000000,36.750,50.083
550.00000000,36.917,50.083
550.00000000,37.083,50.083
555.00000000,37.250,50.083
554.00000000,37.417,50.083
553.00000000,37.583,50.083
552.00000000,37.750,50.083
552.00000000,37.917,50.083
549.00000000,38.083,50.083
549.00000000,38.250,50.083
545.00000000,38.417,50.083
539.00000000,38.583,50.083
531.00000000,38.750,50.083
617.00000000,22.917,49.917
631.00000000,23.083,49.917
647.00000000,23.250,49.917
664.00000000,23.417,49.917
683.00000000,23.583,49.917
696.00000000,23.750,49.917
697.00000000,23.917,49.917
679.00000000,24.083,49.917
672.00000000,24.250,49.917
669.00000000,24.417,49.917
662.00000000,24.583,49.917
662.00000000,24.750,49.917
677.00000000,24.917,49.917
682.00000000,25.083,49.917
676.00000000,25.250,49.917
666.00000000,25.417,49.917
652.00000000,25.583,49.917
647.00000000,25.750,49.917
637.00000000,25.917,49.917
631.00000000,26.083,49.917
631.00000000,26.250,49.917
638.00000000,26.417,49.917
649.00000000,26.583,49.917
657.00000000,26.750,49.917
666.00000000,26.917,49.917
671.00000000,27.083,49.917
667.00000000,27.250,49.917
662.00000000,27.417,49.917
654.00000000,27.583,49.917
644.00000000,27.750,49.917
642.00000000,27.917,49.917
635.00000000,28.083,49.917
633.00000000,28.250,49.917
626.00000000,28.417,49.917
623.00000000,28.583,49.917
626.00000000,28.750,49.917
623.00000000,28.917,49.917
623.00000000,29.083,49.917
619.00000000,29.250,49.917
616.00000000,29.417,49.917
609.00000000,29.583,49.917
605.00000000,29.750,49.917
595.00000000,29.917,49.917
585.00000000,30.083,49.917
576.00000000,30.250,49.917
579.00000000,30.417,49.917
576.00000000,30.583,49.917
573.00000000,30.750,49.917
569.00000000,30.917,49.917
561.00000000,31.083,49.917
549.00000000,31.250,49.917
