VALUE,long,lat
6.73696899,32.250,51.4166666666667
6.68907309,32.417,51.4166666666667
6.67109346,32.583,51.4166666666667
6.67096853,32.750,51.4166666666667
6.66409349,32.917,51.4166666666667
6.64268732,33.083,51.4166666666667
6.57336426,33.250,51.4166666666667
6.53142691,33.417,51.4166666666667
6.50061464,33.583,51.4166666666667
6.50005198,33.750,51.4166666666667
6.48295832,33.917,51.4166666666667
6.44380188,34.083,51.4166666666667
6.46378136,34.250,51.4166666666667
6.50687504,34.417,51.4166666666667
6.48940611,34.583,51.4166666666667
6.51064587,34.750,51.4166666666667
6.54552078,34.917,51.4166666666667
6.34295845,35.083,51.4166666666667
7.46520853,23.583,51.25
7.43695831,23.750,51.25
7.37055206,23.917,51.25
7.32049990,24.083,51.25
7.27090645,24.250,51.25
7.25330210,24.417,51.25
7.31477070,24.583,51.25
7.43196869,24.750,51.25
7.44084406,24.917,51.25
7.60961485,25.083,51.25
7.74276066,25.250,51.25
7.79208326,25.417,51.25
7.82910442,25.583,51.25
7.77753115,25.750,51.25
7.72298956,25.917,51.25
7.58258343,26.083,51.25
7.53943729,26.250,51.25
7.44536448,26.417,51.25
7.38049984,26.583,51.25
7.27586460,26.750,51.25
7.01709366,26.917,51.25
6.76182318,27.083,51.25
6.60783339,27.250,51.25
6.38204193,27.417,51.25
6.20537519,27.583,51.25
6.12691641,27.750,51.25
6.14671898,27.917,51.25
6.19700003,28.083,51.25
6.15635443,28.250,51.25
6.28957272,28.417,51.25
6.46051025,28.583,51.25
6.62281227,28.750,51.25
6.73188543,28.917,51.25
6.81273937,29.083,51.25
6.82326031,29.250,51.25
6.84569788,29.417,51.25
6.88883352,29.583,51.25
6.96214581,29.750,51.25
7.03365612,29.917,51.25
7.13588524,30.083,51.25
7.25950003,30.250,51.25
7.26344776,30.417,51.25
7.22551060,30.583,51.25
7.07180214,30.750,51.25
7.04314566,30.917,51.25
7.03509378,31.083,51.25
6.96455193,31.250,51.25
6.93802071,31.417,51.25
6.89936447,31.583,51.25
6.83339596,31.750,51.25
6.82169771,31.917,51.25
6.75660419,32.083,51.25
6.75202084,32.250,51.25
6.73504162,32.417,51.25
6.70711470,32.583,51.25
6.69670820,32.750,51.25
6.70905209,32.917,51.25
6.74562502,33.083,51.25
6.75524998,33.250,51.25
6.66542721,33.417,51.25
6.64053106,33.583,51.25
6.67159367,33.750,51.25
6.64466667,33.917,51.25
6.63206244,34.083,51.25
6.66288567,34.250,51.25
6.60335445,34.417,51.25
6.58686447,34.583,51.25
6.58136463,34.750,51.25
6.54515648,34.917,51.25
6.51706266,35.083,51.25
6.51602077,35.250,51.25
6.30780220,35.417,51.25
7.44288540,23.750,51.0833333333333
7.41404152,23.917,51.0833333333333
7.35928106,24.083,51.0833333333333
7.34485435,24.250,51.0833333333333
7.38854170,24.417,51.0833333333333
7.39283323,24.583,51.0833333333333
7.41371870,24.750,51.0833333333333
7.47717714,24.917,51.0833333333333
7.62184381,25.083,51.0833333333333
7.74461460,25.250,51.0833333333333
7.83172941,25.417,51.0833333333333
7.86407280,25.583,51.0833333333333
7.78880215,25.750,51.0833333333333
7.69404173,25.917,51.0833333333333
7.56168747,26.083,51.0833333333333
7.54111433,26.250,51.0833333333333
7.40540648,26.417,51.0833333333333
7.32387495,26.583,51.0833333333333
7.27238560,26.750,51.0833333333333
7.00535440,26.917,51.0833333333333
6.73997927,27.083,51.0833333333333
