temp,long,lat,prec,acceptable,occur
6.42966652,33.92,51.58,609,FALSE,0
6.43085432,34.08,51.58,613,FALSE,0
6.38011456,34.25,51.58,624,FALSE,0
6.40698957,34.42,51.58,629,FALSE,0
7.48209381,23.58,51.42,536,FALSE,0
7.46001053,23.75,51.42,546,FALSE,0
7.39041662,23.92,51.42,558,FALSE,0
7.31135416,24.08,51.42,573,FALSE,0
7.24246883,24.25,51.42,579,FALSE,0
7.19406271,24.42,51.42,583,FALSE,0
7.17559385,24.58,51.42,584,FALSE,0
7.3170104,24.75,51.42,589,FALSE,0
7.40064573,24.92,51.42,594,FALSE,0
7.50870848,25.08,51.42,601,FALSE,0
7.68267727,25.25,51.42,604,FALSE,0
7.78476048,25.42,51.42,608,FALSE,0
7.81555223,25.58,51.42,613,FALSE,0
7.75855207,25.75,51.42,608,FALSE,0
7.72293758,25.92,51.42,604,FALSE,0
7.5734477,26.08,51.42,605,FALSE,0
7.45412493,26.25,51.42,601,FALSE,0
7.43728113,26.42,51.42,605,FALSE,0
7.39835405,26.58,51.42,609,FALSE,0
7.22716665,26.75,51.42,616,FALSE,0
6.98336458,26.92,51.42,624,FALSE,0
6.82573986,27.08,51.42,630,FALSE,0
6.64045811,27.25,51.42,637,FALSE,0
6.48523951,27.42,51.42,644,FALSE,0
6.2853961,27.58,51.42,650,FALSE,0
6.1776042,27.75,51.42,650,FALSE,0
6.21828127,27.92,51.42,642,FALSE,0
6.20216656,28.08,51.42,642,FALSE,0
6.10491657,28.25,51.42,642,FALSE,0
6.26605225,28.42,51.42,635,FALSE,0
6.40431261,28.58,51.42,635,FALSE,0
6.54701042,28.75,51.42,636,FALSE,0
6.65287495,28.92,51.42,640,FALSE,0
6.69557285,29.08,51.42,643,FALSE,0
6.7416563,29.25,51.42,646,FALSE,0
6.75830221,29.42,51.42,645,FALSE,0
6.81662512,29.58,51.42,636,FALSE,0
6.88519812,29.75,51.42,620,FALSE,0
7.0152812,29.92,51.42,610,FALSE,0
7.14648962,30.08,51.42,595,FALSE,0
7.099823,30.25,51.42,585,FALSE,0
7.04772902,30.42,51.42,584,FALSE,0
7.1005311,30.58,51.42,587,FALSE,0
6.94631243,30.75,51.42,594,FALSE,0
6.87142706,30.92,51.42,597,FALSE,0
6.86633301,31.08,51.42,598,FALSE,0
6.96768761,31.25,51.42,595,FALSE,0
6.8968854,31.42,51.42,595,FALSE,0
6.87764597,31.58,51.42,601,FALSE,0
6.8524375,31.75,51.42,605,FALSE,0
6.78029156,31.92,51.42,609,FALSE,0
6.74699974,32.08,51.42,612,FALSE,0
6.73696899,32.25,51.42,611,FALSE,0
6.68907309,32.42,51.42,611,FALSE,0
6.67109346,32.58,51.42,613,FALSE,0
6.67096853,32.75,51.42,614,FALSE,0
6.66409349,32.92,51.42,617,FALSE,0
6.64268732,33.08,51.42,626,FALSE,0
6.57336426,33.25,51.42,624,FALSE,0
6.53142691,33.42,51.42,620,FALSE,0
6.50061464,33.58,51.42,617,FALSE,0
6.50005198,33.75,51.42,611,FALSE,0
6.48295832,33.92,51.42,611,FALSE,0
6.44380188,34.08,51.42,615,FALSE,0
6.46378136,34.25,51.42,618,FALSE,0
6.50687504,34.42,51.42,620,FALSE,0
6.48940611,34.58,51.42,628,FALSE,0
6.51064587,34.75,51.42,624,FALSE,0
6.54552078,34.92,51.42,626,FALSE,0
6.34295845,35.08,51.42,633,FALSE,0
7.46520853,23.58,51.25,547,FALSE,0
7.43695831,23.75,51.25,558,FALSE,0
7.37055206,23.92,51.25,572,FALSE,0
7.3204999,24.08,51.25,583,FALSE,0
7.27090645,24.25,51.25,589,FALSE,0
7.2533021,24.42,51.25,593,FALSE,0
7.3147707,24.58,51.25,588,FALSE,0
7.43196869,24.75,51.25,591,FALSE,0
7.44084406,24.92,51.25,597,FALSE,0
7.60961485,25.08,51.25,601,FALSE,0
7.74276066,25.25,51.25,605,FALSE,0
7.79208326,25.42,51.25,614,FALSE,0
7.82910442,25.58,51.25,614,FALSE,0
7.77753115,25.75,51.25,607,FALSE,0
7.72298956,25.92,51.25,602,FALSE,0
7.58258343,26.08,51.25,601,FALSE,0
7.53943729,26.25,51.25,603,FALSE,0
7.44536448,26.42,51.25,606,FALSE,0
7.38049984,26.58,51.25,615,FALSE,0
7.2758646,26.75,51.25,619,FALSE,0
7.01709366,26.92,51.25,629,FALSE,0
6.76182318,27.08,51.25,636,FALSE,0
6.60783339,27.25,51.25,641,FALSE,0
6.38204193,27.42,51.25,647,FALSE,0
6.20537519,27.58,51.25,650,FALSE,0
6.12691641,27.75,51.25,647,FALSE,0
6.14671898,27.92,51.25,643,FALSE,0
6.19700003,28.08,51.25,642,FALSE,0
6.15635443,28.25,51.25,641,FALSE,0
6.28957272,28.42,51.25,638,FALSE,0
6.46051025,28.58,51.25,634,FALSE,0
6.62281227,28.75,51.25,635,FALSE,0
6.73188543,28.92,51.25,638,FALSE,0
6.81273937,29.08,51.25,643,FALSE,0
6.82326031,29.25,51.25,648,FALSE,0
6.84569788,29.42,51.25,650,FALSE,0
6.88883352,29.58,51.25,638,FALSE,0
6.96214581,29.75,51.25,626,FALSE,0
7.03365612,29.92,51.25,616,FALSE,0
7.13588524,30.08,51.25,602,FALSE,0
7.25950003,30.25,51.25,592,FALSE,0
7.26344776,30.42,51.25,588,FALSE,0
7.2255106,30.58,51.25,589,FALSE,0
7.07180214,30.75,51.25,598,FALSE,0
7.04314566,30.92,51.25,599,FALSE,0
7.03509378,31.08,51.25,594,FALSE,0
6.96455193,31.25,51.25,595,FALSE,0
6.93802071,31.42,51.25,596,FALSE,0
6.89936447,31.58,51.25,603,FALSE,0
6.83339596,31.75,51.25,607,FALSE,0
6.82169771,31.92,51.25,613,FALSE,0
6.75660419,32.08,51.25,612,FALSE,0
6.75202084,32.25,51.25,614,FALSE,0
6.73504162,32.42,51.25,610,FALSE,0
6.7071147,32.58,51.25,610,FALSE,0
6.6967082,32.75,51.25,609,FALSE,0
6.70905209,32.92,51.25,611,FALSE,0
6.74562502,33.08,51.25,608,FALSE,0
6.75524998,33.25,51.25,610,FALSE,0
6.66542721,33.42,51.25,613,FALSE,0
6.64053106,33.58,51.25,612,FALSE,0
6.67159367,33.75,51.25,610,FALSE,0
6.64466667,33.92,51.25,610,FALSE,0
6.63206244,34.08,51.25,609,FALSE,0
6.66288567,34.25,51.25,612,FALSE,0
6.60335445,34.42,51.25,616,FALSE,0
6.58686447,34.58,51.25,617,FALSE,0
6.58136463,34.75,51.25,618,FALSE,0
6.54515648,34.92,51.25,623,FALSE,0
6.51706266,35.08,51.25,623,FALSE,0
6.51602077,35.25,51.25,623,FALSE,0
6.3078022,35.42,51.25,630,FALSE,0
7.4428854,23.75,51.08,570,FALSE,0
7.41404152,23.92,51.08,580,FALSE,0
7.35928106,24.08,51.08,591,FALSE,0
7.34485435,24.25,51.08,599,FALSE,0
7.3885417,24.42,51.08,598,FALSE,0
7.39283323,24.58,51.08,599,FALSE,0
7.4137187,24.75,51.08,595,FALSE,0
7.47717714,24.92,51.08,599,FALSE,0
7.62184381,25.08,51.08,599,FALSE,0
7.7446146,25.25,51.08,599,FALSE,0
7.83172941,25.42,51.08,601,FALSE,0
7.8640728,25.58,51.08,602,FALSE,0
7.78880215,25.75,51.08,596,FALSE,0
7.69404173,25.92,51.08,597,FALSE,0
7.56168747,26.08,51.08,600,FALSE,0
7.54111433,26.25,51.08,603,FALSE,0
7.40540648,26.42,51.08,609,FALSE,0
7.32387495,26.58,51.08,617,FALSE,0
7.2723856,26.75,51.08,623,FALSE,0
7.0053544,26.92,51.08,631,FALSE,0
6.73997927,27.08,51.08,640,FALSE,0
6.5973959,27.25,51.08,644,FALSE,0
6.40526056,27.42,51.08,645,FALSE,0
6.28393745,27.58,51.08,647,FALSE,0
6.16246891,27.75,51.08,647,FALSE,0
6.17719793,27.92,51.08,641,FALSE,0
6.24996853,28.08,51.08,639,FALSE,0
6.34216642,28.25,51.08,636,FALSE,0
6.42810392,28.42,51.08,632,FALSE,0
6.52734375,28.58,51.08,630,FALSE,0
6.6963644,28.75,51.08,629,FALSE,0
6.73987484,28.92,51.08,635,FALSE,0
6.72557306,29.08,51.08,643,FALSE,0
6.73243761,29.25,51.08,649,FALSE,0
6.71569777,29.42,51.08,651,FALSE,0
6.79709387,29.58,51.08,640,FALSE,0
6.93004179,29.75,51.08,628,FALSE,0
7.05042696,29.92,51.08,617,FALSE,0
7.22519779,30.08,51.08,609,FALSE,0
7.34383345,30.25,51.08,603,FALSE,0
7.44013548,30.42,51.08,588,FALSE,0
7.33309364,30.58,51.08,585,FALSE,0
7.27537489,30.75,51.08,600,FALSE,0
7.2076354,30.92,51.08,597,FALSE,0
7.13222933,31.08,51.08,598,FALSE,0
7.06789589,31.25,51.08,595,FALSE,0
7.0045104,31.42,51.08,597,FALSE,0
6.93575001,31.58,51.08,602,FALSE,0
6.84958315,31.75,51.08,605,FALSE,0
6.91283321,31.92,51.08,612,FALSE,0
6.82556248,32.08,51.08,614,FALSE,0
6.7951045,32.25,51.08,611,FALSE,0
6.76685429,32.42,51.08,612,FALSE,0
6.74479151,32.58,51.08,610,FALSE,0
6.72766685,32.75,51.08,611,FALSE,0
6.74244785,32.92,51.08,608,FALSE,0
6.73766661,33.08,51.08,609,FALSE,0
6.69878149,33.25,51.08,609,FALSE,0
6.67876053,33.42,51.08,611,FALSE,0
6.6531248099999996,33.58,51.08,613,FALSE,0
6.66768742,33.75,51.08,614,FALSE,0
6.68458319,33.92,51.08,614,FALSE,0
6.59643745,34.08,51.08,615,FALSE,0
6.66977072,34.25,51.08,611,FALSE,0
6.66608334,34.42,51.08,612,FALSE,0
6.59955215,34.58,51.08,613,FALSE,0
6.54403114,34.75,51.08,620,FALSE,0
6.41264582,34.92,51.08,622,FALSE,0
6.41690636,35.08,51.08,621,FALSE,0
6.48429155,35.25,51.08,618,FALSE,0
6.44400024,35.42,51.08,624,FALSE,0
6.43882275,35.58,51.08,625,FALSE,0
7.27965593,23.75,50.92,588,FALSE,0
7.32250023,23.92,50.92,596,FALSE,0
7.41048956,24.08,50.92,604,FALSE,0
7.4580102,24.25,50.92,615,FALSE,0
7.43473959,24.42,50.92,616,FALSE,0
7.31922913,24.58,50.92,613,FALSE,0
7.37285423,24.75,50.92,608,FALSE,0
7.46487474,24.92,50.92,602,FALSE,0
7.55541658,25.08,50.92,603,FALSE,0
7.6941247,25.25,50.92,595,FALSE,0
7.75090599,25.42,50.92,590,FALSE,0
7.72420835,25.58,50.92,592,FALSE,0
7.66496897,25.75,50.92,591,FALSE,0
7.62351036,25.92,50.92,594,FALSE,0
7.56881237,26.08,50.92,597,FALSE,0
7.49440622,26.25,50.92,601,FALSE,0
7.40563536,26.42,50.92,610,FALSE,0
7.2729063,26.58,50.92,618,FALSE,0
7.22303152,26.75,50.92,627,FALSE,0
7.07222939,26.92,50.92,634,FALSE,0
6.77159405,27.08,50.92,642,FALSE,0
6.57463551,27.25,50.92,649,FALSE,0
6.41460419,27.42,50.92,652,FALSE,0
6.31367683,27.58,50.92,650,FALSE,0
6.29562521,27.75,50.92,644,FALSE,0
6.26782274,27.92,50.92,641,FALSE,0
6.29406261,28.08,50.92,638,FALSE,0
6.40839577,28.25,50.92,633,FALSE,0
6.48219776,28.42,50.92,629,FALSE,0
6.6512084,28.58,50.92,623,FALSE,0
6.69883347,28.75,50.92,623,FALSE,0
6.70476055,28.92,50.92,631,FALSE,0
6.69043732,29.08,50.92,639,FALSE,0
6.72990608,29.25,50.92,641,FALSE,0
6.71242714,29.42,50.92,644,FALSE,0
6.77751017,29.58,50.92,638,FALSE,0
6.92356253,29.75,50.92,630,FALSE,0
7.17417717,29.92,50.92,619,FALSE,0
7.28631258,30.08,50.92,611,FALSE,0
7.33268738,30.25,50.92,607,FALSE,0
7.56448936,30.42,50.92,595,FALSE,0
7.45667696,30.58,50.92,588,FALSE,0
7.43819809,30.75,50.92,599,FALSE,0
7.36213541,30.92,50.92,598,FALSE,0
7.28565645,31.08,50.92,593,FALSE,0
7.16035414,31.25,50.92,588,FALSE,0
7.05206251,31.42,50.92,590,FALSE,0
7.01104164,31.58,50.92,596,FALSE,0
6.98075008,31.75,50.92,599,FALSE,0
6.96054173,31.92,50.92,603,FALSE,0
6.90832281,32.08,50.92,608,FALSE,0
6.81010389,32.25,50.92,612,FALSE,0
6.77641678,32.42,50.92,607,FALSE,0
6.77339602,32.58,50.92,608,FALSE,0
6.75695848,32.75,50.92,607,FALSE,0
6.76795816,32.92,50.92,607,FALSE,0
6.73289585,33.08,50.92,606,FALSE,0
6.71689558,33.25,50.92,608,FALSE,0
6.65812492,33.42,50.92,614,FALSE,0
6.63320827,33.58,50.92,615,FALSE,0
6.65882301,33.75,50.92,617,FALSE,0
6.65929174,33.92,50.92,615,FALSE,0
6.66180229,34.08,50.92,613,FALSE,0
6.63562489,34.25,50.92,611,FALSE,0
6.63431263,34.42,50.92,608,FALSE,0
6.63326025,34.58,50.92,607,FALSE,0
6.77126026,34.75,50.92,609,FALSE,0
6.67190599,34.92,50.92,609,FALSE,0
6.39067698,35.08,50.92,614,FALSE,0
6.39584398,35.25,50.92,619,FALSE,0
6.35130215,35.42,50.92,620,FALSE,0
6.44838524,35.58,50.92,620,FALSE,0
7.36014605,23.92,50.75,607,FALSE,0
7.40505219,24.08,50.75,617,FALSE,0
7.40259361,24.25,50.75,631,FALSE,0
7.42259359,24.42,50.75,630,FALSE,0
7.31742716,24.58,50.75,628,FALSE,0
7.26356268,24.75,50.75,624,FALSE,0
7.30042696,24.92,50.75,619,FALSE,0
7.43806267,25.08,50.75,610,FALSE,0
7.64245844,25.25,50.75,599,FALSE,0
7.73102093,25.42,50.75,589,FALSE,0
7.62073946,25.58,50.75,587,FALSE,0
7.67426062,25.75,50.75,588,FALSE,0
7.63385439,25.92,50.75,594,FALSE,0
7.55025005,26.08,50.75,596,FALSE,0
7.44420815,26.25,50.75,604,FALSE,0
7.36482286,26.42,50.75,615,FALSE,0
7.27471876,26.58,50.75,624,FALSE,0
7.09819794,26.75,50.75,635,FALSE,0
7.02294779,26.92,50.75,638,FALSE,0
6.83937502,27.08,50.75,646,FALSE,0
6.71018744,27.25,50.75,651,FALSE,0
6.52825022,27.42,50.75,652,FALSE,0
6.41681242,27.58,50.75,650,FALSE,0
6.35639572,27.75,50.75,641,FALSE,0
6.37235403,27.92,50.75,638,FALSE,0
6.43168736,28.08,50.75,631,FALSE,0
6.44101048,28.25,50.75,632,FALSE,0
6.5376873,28.42,50.75,626,FALSE,0
6.72942686,28.58,50.75,621,FALSE,0
6.76733351,28.75,50.75,621,FALSE,0
6.80237484,28.92,50.75,626,FALSE,0
6.82970858,29.08,50.75,630,FALSE,0
6.89238548,29.25,50.75,632,FALSE,0
6.87598944,29.42,50.75,632,FALSE,0
6.88207293,29.58,50.75,635,FALSE,0
6.93330193,29.75,50.75,628,FALSE,0
7.11325026,29.92,50.75,622,FALSE,0
7.3001771,30.08,50.75,619,FALSE,0
7.44882298,30.25,50.75,613,FALSE,0
7.69971895,30.42,50.75,594,FALSE,0
7.60144758,30.58,50.75,589,FALSE,0
7.59540606,30.75,50.75,595,FALSE,0
7.41061449,30.92,50.75,595,FALSE,0
7.35332298,31.08,50.75,586,FALSE,0
7.27134371,31.25,50.75,582,FALSE,0
7.15047932,31.42,50.75,583,FALSE,0
