latitude,longitude,scientific_name
48.0978611667,24.7031533333,Salamandra salamandra
48.0977555,24.706245,Salamandra salamandra
48.0980083333,24.708595,Salamandra salamandra
48.1089888333,24.697925,Salamandra salamandra
48.1052638333,24.69795,Salamandra salamandra
48.1020666667,24.70647,Salamandra salamandra
48.1015971667,24.707295,Salamandra salamandra
48.0979,24.7087916667,Salamandra salamandra
48.79745,22.9663394444,Salamandra salamandra
48.7989197222,22.9716394444,Salamandra salamandra
48.7989519444,22.9712316667,Salamandra salamandra
48.7977397222,22.9708669444,Salamandra salamandra
48.7977075,22.9709527778,Salamandra salamandra
48.7983297222,22.9715108333,Salamandra salamandra
48.7983619444,22.9714463889,Salamandra salamandra
48.7981258333,22.9721975,Salamandra salamandra
48.7973533333,22.9697297222,Salamandra salamandra
48.7977180556,22.9714033333,Salamandra salamandra
48.7981688889,22.972455,Salamandra salamandra
48.7980508333,22.9729269444,Salamandra salamandra
48.9082216667,23.8439,Salamandra salamandra
48.0103279041,24.7395721078,Salamandra salamandra
48.5777283333,22.83488,Salamandra salamandra
48.0948195,24.6928333333,Salamandra salamandra
48.3347966667,24.570495,Salamandra salamandra
48.335255,24.571175,Salamandra salamandra
48.0996166667,24.6735116667,Salamandra salamandra
48.30765,24.647337,Salamandra salamandra
48.3086869722,24.6502429722,Salamandra salamandra
49.0468748002,23.5070254807,Salamandra salamandra
48.0963555,24.6913133333,Salamandra salamandra
48.378796,24.02469,Salamandra salamandra
48.79759128,22.9675701,Salamandra salamandra
48.79887691,22.97176506,Salamandra salamandra
48.444805,24.492005,Salamandra salamandra
48.4435966667,24.4979283333,Salamandra salamandra
48.4450533333,24.51218,Salamandra salamandra
48.718625,22.6867366667,Salamandra salamandra
48.7204783333,22.687345,Salamandra salamandra
48.0998083333,24.6719166667,Salamandra salamandra
48.0995971667,24.6733383333,Salamandra salamandra
48.7975358333,22.9713175,Salamandra salamandra
48.7976216667,22.9717466667,Salamandra salamandra
48.7973211111,22.9730986111,Salamandra salamandra
48.7987375,22.9751372222,Salamandra salamandra
48.9813918889,23.5907649722,Salamandra salamandra
48.7732045941,22.9833246387,Salamandra salamandra
48.4641818887,24.4966724985,Salamandra salamandra
48.4738442708,24.5051929629,Salamandra salamandra
48.9812971218,23.590231124,Salamandra salamandra
48.6454359139,22.6282890514,Salamandra salamandra
48.167426266,25.2467203422,Salamandra salamandra
48.4520611111,24.5289527778,Salamandra salamandra
48.77553,23.527195,Salamandra salamandra
48.6499118004,24.5596649498,Salamandra salamandra
49.1033427323,23.5973266023,Salamandra salamandra
48.4457888889,24.4857638889,Salamandra salamandra
48.1624498287,25.1541427365,Salamandra salamandra
48.2066616667,25.1731216667,Salamandra salamandra
49.0121445613,23.8796870783,Salamandra salamandra
48.341725,24.5420416667,Salamandra salamandra
48.4494472222,24.523325,Salamandra salamandra
48.3910783333,24.500045,Salamandra salamandra
48.5491466667,24.1793883333,Salamandra salamandra
